ask_cap,spread_cap,edge3,kill_switch_L,total_trades,wins,losses,total_pnl,win_rate,avg_pnl_per_trade,max_drawdown,sharpe_like,pnl_efficiency,bucket3_trades,bucket3_pnl,kill_activations,pnl_saved,delta_pnl,delta_trades
0.68,0.03,0.7,999,1316,933,383,481.00370218017247,70.8966565349544,0.36550433296365686,76.35335252982361,0.6876122219485111,6.29970638148852,0,0.0,0,0,499.3028983911874,1283
0.68,0.03,0.72,999,1316,933,383,481.00370218017247,70.8966565349544,0.36550433296365686,76.35335252982361,0.6876122219485111,6.29970638148852,0,0.0,0,0,499.3028983911874,1283
0.68,0.03,0.74,999,1316,933,383,481.00370218017247,70.8966565349544,0.36550433296365686,76.35335252982361,0.6876122219485111,6.29970638148852,0,0.0,0,0,499.3028983911874,1283
0.74,0.015,0.7,999,1501,1081,420,480.5083633415916,72.018654230513,0.3201254918997945,92.39458457920364,0.6735131121165678,5.2006117623667025,398,-1.2090070970063582,0,0,498.8075595526065,1468
0.72,0.02,0.66,999,1445,1036,409,480.1199254519559,71.6955017301038,0.3322629241882048,92.78518729808343,0.689086712108313,5.174532050137633,379,33.28359043147763,0,0,498.41912166297084,1412
0.72,0.02,0.68,999,1445,1036,409,480.1199254519559,71.6955017301038,0.3322629241882048,92.78518729808343,0.689086712108313,5.174532050137633,379,33.28359043147763,0,0,498.41912166297084,1412
0.74,0.015,0.72,999,1498,1079,419,479.63647480411646,72.02937249666222,0.3201845626195704,93.16365868900726,0.6707772858751512,5.148321583260347,343,31.760459089226252,0,0,497.9356710151314,1465
0.74,0.02,0.7,999,1501,1081,420,479.51258007031396,72.018654230513,0.3194620786611019,92.50114894408006,0.6723916317132154,5.183855395787514,395,-7.3357676603866295,0,0,497.8117762813289,1468
0.74,0.015,0.66,999,1501,1081,420,477.37695833660496,72.018654230513,0.31803927937148896,92.71110432856074,0.6696147211117378,5.149080703912437,435,37.1282385993944,0,0,495.6761545476199,1468
0.74,0.015,0.68,999,1501,1081,420,477.37695833660496,72.018654230513,0.31803927937148896,92.71110432856074,0.6696147211117378,5.149080703912437,435,37.1282385993944,0,0,495.6761545476199,1468
0.7,0.025,0.7,999,1355,963,392,477.294338227842,71.07011070110701,0.35224674407958817,76.62979390600952,0.6929041824316845,6.228573951448553,0,0.0,0,0,495.5935344388569,1322
0.7,0.025,0.72,999,1355,963,392,477.294338227842,71.07011070110701,0.35224674407958817,76.62979390600952,0.6929041824316845,6.228573951448553,0,0.0,0,0,495.5935344388569,1322
0.7,0.025,0.74,999,1355,963,392,477.294338227842,71.07011070110701,0.35224674407958817,76.62979390600952,0.6929041824316845,6.228573951448553,0,0.0,0,0,495.5935344388569,1322
0.72,0.025,0.72,999,1355,963,392,477.294338227842,71.07011070110701,0.35224674407958817,76.62979390600952,0.6929041824316845,6.228573951448553,0,0.0,0,0,495.5935344388569,1322
0.72,0.025,0.74,999,1355,963,392,477.294338227842,71.07011070110701,0.35224674407958817,76.62979390600952,0.6929041824316845,6.228573951448553,0,0.0,0,0,495.5935344388569,1322
0.74,0.025,0.74,999,1355,963,392,477.294338227842,71.07011070110701,0.35224674407958817,76.62979390600952,0.6929041824316845,6.228573951448553,0,0.0,0,0,495.5935344388569,1322
0.7,0.03,0.7,999,1355,963,392,476.75182873392583,71.07011070110701,0.35184636806931796,76.73635827088594,0.6927423348558536,6.212854499179527,0,0.0,0,0,495.05102494494076,1322
0.7,0.03,0.72,999,1355,963,392,476.75182873392583,71.07011070110701,0.35184636806931796,76.73635827088594,0.6927423348558536,6.212854499179527,0,0.0,0,0,495.05102494494076,1322
0.7,0.03,0.74,999,1355,963,392,476.75182873392583,71.07011070110701,0.35184636806931796,76.73635827088594,0.6927423348558536,6.212854499179527,0,0.0,0,0,495.05102494494076,1322
0.72,0.03,0.72,999,1355,963,392,476.75182873392583,71.07011070110701,0.35184636806931796,76.73635827088594,0.6927423348558536,6.212854499179527,0,0.0,0,0,495.05102494494076,1322
0.72,0.03,0.74,999,1355,963,392,476.75182873392583,71.07011070110701,0.35184636806931796,76.73635827088594,0.6927423348558536,6.212854499179527,0,0.0,0,0,495.05102494494076,1322
0.74,0.03,0.74,999,1355,963,392,476.75182873392583,71.07011070110701,0.35184636806931796,76.73635827088594,0.6927423348558536,6.212854499179527,0,0.0,0,0,495.05102494494076,1322
