Rank,ask_cap,spread_cap,edge3,kill_L,trades,wins,losses,WR%,avg_win,avg_loss,total_pnl,pnl/trade,max_dd,worst_day,worst_wk,pnl_std,pct5_boot,slip_adj,efficiency,kill_acts
206,0.74,0.025,0.66,3,34,21,13,61.8,2.28,-5.00,-17.18,-0.505,17.18,-9.42,-17.18,1.18,-52.15,-18.03,-1.00,1
207,0.74,0.025,0.68,3,34,21,13,61.8,2.28,-5.00,-17.18,-0.505,17.18,-9.42,-17.18,1.18,-53.07,-18.03,-1.00,1
208,0.74,0.030,0.66,3,34,21,13,61.8,2.28,-5.00,-17.18,-0.505,17.18,-9.42,-17.18,1.18,-53.04,-18.03,-1.00,1
209,0.74,0.030,0.68,3,34,21,13,61.8,2.28,-5.00,-17.18,-0.505,17.18,-9.42,-17.18,1.18,-53.76,-18.03,-1.00,1
210,0.74,0.015,0.70,3,34,21,13,61.8,2.28,-5.00,-17.21,-0.506,17.21,-9.66,-17.21,1.49,-52.37,-18.06,-1.00,1
211,0.74,0.020,0.72,3,34,21,13,61.8,2.27,-5.00,-17.27,-0.508,17.27,-9.23,-17.27,0.84,-52.51,-18.12,-1.00,1
212,0.74,0.025,0.72,3,34,21,13,61.8,2.27,-5.00,-17.34,-0.510,17.34,-9.21,-17.34,0.76,-54.40,-18.19,-1.00,1
213,0.74,0.030,0.72,3,34,21,13,61.8,2.27,-5.00,-17.34,-0.510,17.34,-9.21,-17.34,0.76,-50.01,-18.19,-1.00,1
214,0.74,0.025,0.70,3,34,21,13,61.8,2.27,-5.00,-17.38,-0.511,17.38,-9.52,-17.38,1.18,-48.67,-18.23,-1.00,1
215,0.74,0.030,0.70,3,34,21,13,61.8,2.27,-5.00,-17.38,-0.511,17.38,-9.52,-17.38,1.18,-49.21,-18.23,-1.00,1
216,0.72,0.025,0.66,3,33,20,13,60.6,2.35,-5.00,-18.09,-0.548,18.09,-9.23,-18.09,0.26,-49.15,-18.91,-1.00,1
217,0.72,0.025,0.68,3,33,20,13,60.6,2.35,-5.00,-18.09,-0.548,18.09,-9.23,-18.09,0.26,-54.40,-18.91,-1.00,1
218,0.72,0.030,0.66,3,33,20,13,60.6,2.35,-5.00,-18.09,-0.548,18.09,-9.23,-18.09,0.26,-53.49,-18.91,-1.00,1
219,0.72,0.030,0.68,3,33,20,13,60.6,2.35,-5.00,-18.09,-0.548,18.09,-9.23,-18.09,0.26,-50.32,-18.91,-1.00,1
220,0.72,0.015,0.66,3,33,20,13,60.6,2.34,-5.00,-18.20,-0.551,18.20,-9.18,-18.20,0.11,-49.36,-19.02,-1.00,1
221,0.72,0.015,0.68,3,33,20,13,60.6,2.34,-5.00,-18.20,-0.551,18.20,-9.18,-18.20,0.11,-49.19,-19.02,-1.00,1
222,0.72,0.020,0.66,3,33,20,13,60.6,2.34,-5.00,-18.20,-0.552,18.20,-9.23,-18.20,0.18,-49.52,-19.03,-1.00,1
223,0.72,0.020,0.68,3,33,20,13,60.6,2.34,-5.00,-18.20,-0.552,18.20,-9.23,-18.20,0.18,-52.48,-19.03,-1.00,1
